word,x,y
recent,115.43899,-1084.4272
trifling,257.9951,711.35944
finer,-71.912224,-687.6213
thin,257.9951,711.35944
curious,-951.86163,-155.88205
polite,-93.74354,-131.5854
uncommon,724.3881,-534.7766
wise,494.54434,1034.9302
fearful,211.55492,-578.76965
material,-924.8581,439.74445
absurd,-153.19484,977.9316
nice,497.98947,-103.91247
mutual,-924.8581,439.74445
frightened,119.799675,-706.18134
gentle,-605.49,151.75119
liberal,434.9356,336.51242
honourable,-383.12857,-1005.5233
mere,-924.8581,439.74445
actual,-153.19484,977.9316
disgraceful,-634.49066,-582.7671
distressing,-634.49066,-582.7671
solemn,-52.484406,323.03934
near,497.98947,-103.91247
melancholy,-924.8581,439.74445
peculiar,-190.54883,-258.8649
inferior,903.25793,52.94797
agitated,-153.19484,977.9316
visible,551.8523,-994.5057
nearest,497.98947,-103.91247
Poor,-190.54883,-258.8649
nervous,497.98947,-103.91247
deep,-634.49066,-582.7671
sufficient,-52.484406,323.03934
gentlemanlike,-605.49,151.75119
unworthy,724.3881,-534.7766
ridiculous,115.43899,-1084.4272
cautious,-951.86163,-155.88205
hasty,-383.12857,-1005.5233
dissatisfied,-634.49066,-582.7671
intelligent,903.25793,52.94797
higher,-383.12857,-1005.5233
cruel,-951.86163,-155.88205
engaged,798.5389,612.6109
dirty,-634.49066,-582.7671
absent,-153.19484,977.9316
excessive,798.5389,612.6109
extensive,798.5389,612.6109
original,224.95148,31.965883
amazed,-153.19484,977.9316
tired,257.9951,711.35944
uncivil,724.3881,-534.7766
careful,-951.86163,-155.88205
dead,-411.34134,-574.9772
heavy,-383.12857,-1005.5233
prepared,-360.2953,-131.86354
handsomest,-383.12857,-1005.5233
sickly,-259.2687,421.19016
flattering,-71.912224,-687.6213
qualified,147.8543,-187.7785
tender,257.9951,711.35944
intelligible,903.25793,52.94797
unguarded,724.3881,-534.7766
active,-153.19484,977.9316
insolent,903.25793,52.94797
absolute,-153.19484,977.9316
infamous,903.25793,52.94797
promising,-360.2953,-131.86354
affected,-153.19484,977.9316
Dear,-634.49066,-582.7671
unnecessary,724.3881,-534.7766
headstrong,-383.12857,-1005.5233
calm,-951.86163,-155.88205
unjust,724.3881,-534.7766
insensible,903.25793,52.94797
inconvenient,903.25793,52.94797
prudent,-93.74354,-131.5854
unlikely,724.3881,-534.7766
True,257.9951,711.35944
unconnected,724.3881,-534.7766
unwelcome,724.3881,-534.7766
formidable,-71.912224,-687.6213
pale,-190.54883,-258.8649
confused,-951.86163,-155.88205
solitary,-52.484406,323.03934
sole,-52.484406,323.03934
unpardonable,724.3881,-534.7766
unequal,724.3881,-534.7766
dull,-634.49066,-582.7671
sad,-52.484406,323.03934
extravagant,798.5389,612.6109
mean,-924.8581,439.74445
following,57.38613,-548.7929
fatigued,57.38613,-548.7929
disconcerted,-411.34134,-574.9772
handsomer,-383.12857,-1005.5233
unreserved,724.3881,-534.7766
stupid,-259.2687,421.19016
insupportable,903.25793,52.94797
cordial,-951.86163,-155.88205
splendid,-259.2687,421.19016
vexed,551.8523,-994.5057
horrid,-383.12857,-1005.5233
flattered,211.55492,-578.76965
accidental,-153.19484,977.9316
haughty,-383.12857,-1005.5233
reserved,115.43899,-1084.4272
obliging,224.95148,31.965883
intolerable,903.25793,52.94797
known,132.34775,-321.73874
invaluable,903.25793,52.94797
familiar,-71.912224,-687.6213
rapid,115.43899,-1084.4272
fit,119.799675,-706.18134
incredible,903.25793,52.94797
nonsensical,497.98947,-103.91247
exact,798.5389,612.6109
faithful,57.38613,-548.7929
thorough,257.9951,711.35944
apparent,-153.19484,977.9316
amusing,-153.19484,977.9316
genteel,-605.49,151.75119
odious,224.95148,31.965883
needless,497.98947,-103.91247
dependent,-634.49066,-582.7671
ordinary,224.95148,31.965883
comparative,-951.86163,-155.88205
reprehensible,115.43899,-1084.4272
jealous,367.88385,-425.97073
wide,494.54434,1034.9302
white,494.54434,1034.9302
round,115.43899,-1084.4272
secret,-259.2687,421.19016
conscious,-951.86163,-155.88205
firm,119.799675,-706.18134
liveliest,434.9356,336.51242
pompous,-360.2953,-131.86354
punctual,-360.2953,-131.86354
stately,-52.484406,323.03934
grievous,-605.49,151.75119
previous,-190.54883,-258.8649
keenest,132.34775,-321.73874
disinterested,-634.49066,-582.7671
lovely,434.9356,336.51242
incumbent,903.25793,52.94797
unassuming,724.3881,-534.7766
noisy,497.98947,-103.91247
suitable,-52.484406,323.03934
subject,-259.2687,421.19016
impartial,903.25793,52.94797
disgusted,-634.49066,-582.7671
tempered,257.9951,711.35944
scandalous,-259.2687,421.19016
chief,-951.86163,-155.88205
voluntary,551.8523,-994.5057
wonderful,494.54434,1034.9302
consistent,-951.86163,-155.88205
powerful,-190.54883,-258.8649
ceremonious,-951.86163,-155.88205
worthy,494.54434,1034.9302
pitiable,-190.54883,-258.8649
significant,-259.2687,421.19016
deeper,-634.49066,-582.7671
wilful,494.54434,1034.9302
gratifying,-605.49,151.75119
total,257.9951,711.35944
regular,115.43899,-1084.4272
ungenerous,724.3881,-534.7766
female,211.55492,-578.76965
negative,497.98947,-103.91247
successful,-259.2687,421.19016
inevitable,903.25793,52.94797
positive,-190.54883,-258.8649
objectionable,224.95148,31.965883
admirable,-153.19484,977.9316
direct,-411.34134,-574.9772
excited,798.5389,612.6109
momentary,-924.8581,439.74445
incredulous,903.25793,52.94797
rude,115.43899,-1084.4272
longer,434.9356,336.51242
continual,-951.86163,-155.88205
universal,724.3881,-534.7766
confident,-951.86163,-155.88205
ungracious,724.3881,-534.7766
obstinate,224.95148,31.965883
mercenary,-924.8581,439.74445
northern,497.98947,-103.91247
sisterly,-52.484406,323.03934
dignified,-411.34134,-574.9772
Young,366.8219,-261.70593
indebted,903.25793,52.94797
officious,224.95148,31.965883
past,-190.54883,-258.8649
united,724.3881,-534.7766
slightest,-52.484406,323.03934
urgent,724.3881,-534.7766
desperate,-634.49066,-582.7671
extreme,798.5389,612.6109
frivolous,119.799675,-706.18134
faulty,-60.436344,-529.26105
privileged,-360.2953,-131.86354
decent,-634.49066,-582.7671
unsettled,724.3881,-534.7766
tiresome,257.9951,711.35944
hearty,-383.12857,-1005.5233
uncertain,724.3881,-534.7766
hypocritical,-383.12857,-1005.5233
Impossible,903.25793,52.94797
ingenious,903.25793,52.94797
upper,724.3881,-534.7766
blue,-648.8871,803.46826
fastidious,57.38613,-548.7929
playful,-360.2953,-131.86354
fourth,-71.912224,-687.6213
disposed,-647.24524,-417.30133
doubtful,-634.49066,-582.7671
firmest,-71.912224,-687.6213
prone,-190.54883,-258.8649
sound,-259.2687,421.19016
polished,-360.2953,-131.86354
ample,-153.19484,977.9316
worthless,494.54434,1034.9302
red,115.43899,-1084.4272
smart,-259.2687,421.19016
compassionate,-951.86163,-155.88205
unwell,724.3881,-534.7766
wet,494.54434,1034.9302
weary,494.54434,1034.9302
feverish,211.55492,-578.76965
vulgar,551.8523,-994.5057
singular,-259.2687,421.19016
modern,-924.8581,439.74445
substantial,-259.2687,421.19016
bitter,-648.8871,803.46826
paltry,-190.54883,-258.8649
alarming,-153.19484,977.9316
vast,551.8523,-994.5057
sweetest,-259.2687,421.19016
pitiful,-190.54883,-258.8649
intricate,903.25793,52.94797
estimable,798.5389,612.6109
pleasanter,-360.2953,-131.86354
expressive,798.5389,612.6109
stout,-52.484406,323.03934
shameful,-52.484406,323.03934
amused,-153.19484,977.9316
careless,-951.86163,-155.88205
deceitful,-634.49066,-582.7671
indirect,903.25793,52.94797
awful,-153.19484,977.9316
disengaged,-634.49066,-582.7671
spoilt,-52.484406,323.03934
refreshing,115.43899,-1084.4272
awake,-153.19484,977.9316
resentful,115.43899,-1084.4272
threadbare,257.9951,711.35944
entail,798.5389,612.6109
filial,57.38613,-548.7929
eloquent,798.5389,612.6109
distinguished,-634.49066,-582.7671
brightest,-648.8871,803.46826
advantageous,-153.19484,977.9316
awed,-153.19484,977.9316
hot,-383.12857,-1005.5233
creditable,-951.86163,-155.88205
malicious,-924.8581,439.74445
unforgiving,724.3881,-534.7766
closest,-951.86163,-155.88205
brotherly,-648.8871,803.46826
prosperous,-190.54883,-258.8649
minded,-924.8581,439.74445
authoritative,-153.19484,977.9316
personal,-190.54883,-258.8649
answerable,-153.19484,977.9316
striking,-52.484406,323.03934
smiling,-52.484406,323.03934
modest,-924.8581,439.74445
indignant,903.25793,52.94797
innocent,903.25793,52.94797
compatible,-951.86163,-155.88205
offensive,224.95148,31.965883
loud,434.9356,336.51242
detached,-634.49066,-582.7671
animated,-153.19484,977.9316
decisive,-634.49066,-582.7671
genuine,-605.49,151.75119
liable,434.9356,336.51242
varied,551.8523,-994.5057
unconcerned,724.3881,-534.7766
peevish,-190.54883,-258.8649
double,-634.49066,-582.7671
numerous,497.98947,-103.91247
grand,-605.49,151.75119
independent,903.25793,52.94797
obliged,224.95148,31.965883
pure,-190.54883,-258.8649
joyful,367.88385,-425.97073
decided,-634.49066,-582.7671
expedient,798.5389,612.6109
irksome,903.25793,52.94797
speedy,-259.2687,421.19016
unsuitable,724.3881,-534.7766
worldly,494.54434,1034.9302
humiliating,-383.12857,-1005.5233
prior,-93.74354,-131.5854
tranquil,257.9951,711.35944
fonder,211.55492,-578.76965
rapturous,115.43899,-1084.4272
unfeeling,724.3881,-534.7766
gloomy,-605.49,151.75119
professed,-190.54883,-258.8649
unavailing,724.3881,-534.7766
unaccountable,724.3881,-534.7766
narrow,497.98947,-103.91247
inattentive,903.25793,52.94797
reputed,115.43899,-1084.4272
reluctant,115.43899,-1084.4272
relative,115.43899,-1084.4272
boundary,-648.8871,803.46826
vexatious,551.8523,-994.5057
breathless,-648.8871,803.46826
cross,-951.86163,-155.88205
miraculous,-924.8581,439.74445
finished,119.799675,-706.18134
indisposed,903.25793,52.94797
older,118.35588,20.62824
sheltered,-259.2687,421.19016
captivating,-951.86163,-155.88205
conjecture,-951.86163,-155.88205
unnatural,724.3881,-534.7766
separate,-259.2687,421.19016
displeased,-634.49066,-582.7671
hurried,-383.12857,-1005.5233
coloured,-951.86163,-155.88205
beloved,-648.8871,803.46826
kinder,192.4397,-326.7464
immovable,903.25793,52.94797
close,-951.86163,-155.88205
acute,-153.19484,977.9316
like,434.9356,336.51242
pecuniary,-360.2953,-131.86354
gross,-605.49,151.75119
incomprehensible,903.25793,52.94797
unfelt,724.3881,-534.7766
unfit,724.3881,-534.7766
cool,-951.86163,-155.88205
improper,903.25793,52.94797
contented,-951.86163,-155.88205
irritable,903.25793,52.94797
daily,-411.34134,-574.9772
ugly,724.3881,-534.7766
vague,551.8523,-994.5057
abusive,-153.19484,977.9316
injurious,903.25793,52.94797
undeserving,724.3881,-534.7766
sharp,-52.484406,323.03934
exciting,798.5389,612.6109
aloof,-153.19484,977.9316
happier,-383.12857,-1005.5233
finest,-71.912224,-687.6213
nearer,497.98947,-103.91247
deepest,-411.34134,-574.9772
triumphant,257.9951,711.35944
slow,-52.484406,323.03934
sly,-52.484406,323.03934
unfavourable,724.3881,-534.7766
shy,-52.484406,323.03934
looking,434.9356,336.51242
grieved,-605.49,151.75119
precious,-190.54883,-258.8649
additional,-153.19484,977.9316
guilty,-605.49,151.75119
alive,-153.19484,977.9316
endless,798.5389,612.6109
moderate,-924.8581,439.74445
sanguine,-259.2687,421.19016
moral,-924.8581,439.74445
unjustifiable,724.3881,-534.7766
thoughtless,257.9951,711.35944
dilatory,-411.34134,-574.9772
essential,798.5389,612.6109
spiritless,-259.2687,421.19016
express,798.5389,612.6109
distracted,-411.34134,-574.9772
utter,724.3881,-534.7766
explicit,798.5389,612.6109
bold,-648.8871,803.46826
Happy,-383.12857,-1005.5233
infinite,903.25793,52.94797
insincere,903.25793,52.94797
maternal,-924.8581,439.74445
special,-259.2687,421.19016
warmest,494.54434,1034.9302
rightful,115.43899,-1084.4272
Single,-259.2687,421.19016
scrupulous,-259.2687,421.19016
sarcastic,-259.2687,421.19016
emphatic,798.5389,612.6109
tallest,257.9951,711.35944
barefaced,-648.8871,803.46826
black,-648.8871,803.46826
proudest,-93.74354,-131.5854
quieter,147.8543,-187.7785
fifth,211.55492,-578.76965
sixth,-259.2687,421.19016
stupider,-259.2687,421.19016
apt,-153.19484,977.9316
candid,-951.86163,-155.88205
unassailed,724.3881,-534.7766
impressed,903.25793,52.94797
characteristic,-951.86163,-155.88205
prettier,-190.54883,-258.8649
unshackled,724.3881,-534.7766
elated,798.5389,612.6109
supercilious,-259.2687,421.19016
inoffensive,903.25793,52.94797
courteous,-951.86163,-155.88205
prettiest,-360.2953,-131.86354
uniform,724.3881,-534.7766
guarded,-605.49,151.75119
mixed,-924.8581,439.74445
dark,-634.49066,-582.7671
critical,-951.86163,-155.88205
fashionable,119.799675,-706.18134
unaware,724.3881,-534.7766
satirical,-52.484406,323.03934
energetic,798.5389,612.6109
musical,-924.8581,439.74445
pedantic,-190.54883,-258.8649
inconsiderable,903.25793,52.94797
gallant,-605.49,151.75119
annoyed,-153.19484,977.9316
male,-924.8581,439.74445
bare,-648.8871,803.46826
productive,-190.54883,-258.8649
silliest,-52.484406,323.03934
DEAR,-634.49066,-582.7671
sore,-52.484406,323.03934
dangerous,-634.49066,-582.7671
indolent,903.25793,52.94797
untidy,724.3881,-534.7766
blowsy,-648.8871,803.46826
taller,257.9951,711.35944
exquisite,798.5389,612.6109
amazing,-153.19484,977.9316
net,497.98947,-103.91247
despicable,-634.49066,-582.7671
eminent,798.5389,612.6109
profuse,-360.2953,-131.86354
confined,-951.86163,-155.88205
unvarying,724.3881,-534.7766
healthy,-383.12857,-1005.5233
invalid,903.25793,52.94797
loo,434.9356,336.51242
perpetual,-360.2953,-131.86354
fast,57.38613,-548.7929
laudable,434.9356,336.51242
flat,57.38613,-548.7929
Italian,903.25793,52.94797
premeditated,-360.2953,-131.86354
affront,-153.19484,977.9316
diffuseness,-634.49066,-582.7671
exhausted,798.5389,612.6109
sooner,-52.484406,323.03934
tedious,257.9951,711.35944
studious,-52.484406,323.03934
surest,-52.484406,323.03934
disappointing,-634.49066,-582.7671
Intimate,903.25793,52.94797
Implacable,903.25793,52.94797
propitious,-360.2953,-131.86354
teasing,257.9951,711.35944
Steady,-259.2687,421.19016
laconic,434.9356,336.51242
hardest,-383.12857,-1005.5233
iniquitous,903.25793,52.94797
disrespectful,-634.49066,-582.7671
’—My,143.16919,421.18643
Right,115.43899,-1084.4272
Honourable,-383.12857,-1005.5233
commendable,-951.86163,-155.88205
respectful,115.43899,-1084.4272
conscientious,-951.86163,-155.88205
indulgent,903.25793,52.94797
defective,-634.49066,-582.7671
scarlet,-259.2687,421.19016
destitute,-634.49066,-582.7671
softened,-259.2687,421.19016
British,-648.8871,803.46826
elevated,798.5389,612.6109
unstudied,724.3881,-534.7766
resolute,115.43899,-1084.4272
monotonous,-924.8581,439.74445
uncle,724.3881,-534.7766
illiterate,903.25793,52.94797
miserly,-924.8581,439.74445
consequential,-951.86163,-155.88205
strictest,-259.2687,421.19016
complaisant,-951.86163,-155.88205
largest,434.9356,336.51242
prompt,-360.2953,-131.86354
correct,-951.86163,-155.88205
faced,-71.912224,-687.6213
stuffy,-259.2687,421.19016
commonest,-951.86163,-155.88205
dullest,-411.34134,-574.9772
truest,257.9951,711.35944
military,-924.8581,439.74445
legal,434.9356,336.51242
redress,115.43899,-1084.4272
conditional,-951.86163,-155.88205
Certain,-951.86163,-155.88205
parental,-190.54883,-258.8649
confidential,-951.86163,-155.88205
dishonest,-634.49066,-582.7671
popular,-190.54883,-258.8649
conversible,-951.86163,-155.88205
aunt,-153.19484,977.9316
arrogant,-153.19484,977.9316
dictatorial,-634.49066,-582.7671
Interested,903.25793,52.94797
evil,798.5389,612.6109
endurable,798.5389,612.6109
unsubdued,724.3881,-534.7766
unheard,724.3881,-534.7766
unsocial,724.3881,-534.7766
taciturn,257.9951,711.35944
constrained,-951.86163,-155.88205
bewitching,-648.8871,803.46826
bright,-648.8871,803.46826
unappeasable,724.3881,-534.7766
implicit,903.25793,52.94797
Insolent,903.25793,52.94797
fairest,119.799675,-706.18134
unacquainted,724.3881,-534.7766
clerical,-951.86163,-155.88205
habitual,-383.12857,-1005.5233
unrestrained,724.3881,-534.7766
bent,-648.8871,803.46826
audible,-153.19484,977.9316
inexpressible,903.25793,52.94797
beneficial,-648.8871,803.46826
conciliatory,-951.86163,-155.88205
orderly,224.95148,31.965883
incessant,903.25793,52.94797
respected,115.43899,-1084.4272
unasked,724.3881,-534.7766
honoured,-383.12857,-1005.5233
daring,-634.49066,-582.7671
manifold,-924.8581,439.74445
plainer,-93.74354,-131.5854
bashful,-648.8871,803.46826
manner,-924.8581,439.74445
undutiful,724.3881,-534.7766
doleful,-634.49066,-582.7671
assiduous,-153.19484,977.9316
seasonable,-52.484406,323.03934
mature,-924.8581,439.74445
equivalent,798.5389,612.6109
encouraging,798.5389,612.6109
diffident,-634.49066,-582.7671
overjoyed,224.95148,31.965883
pleasantest,-93.74354,-131.5854
Engaged,798.5389,612.6109
imaginable,903.25793,52.94797
romantic,115.43899,-1084.4272
forbearing,57.38613,-548.7929
overpowered,224.95148,31.965883
sour,-52.484406,323.03934
unanswerable,724.3881,-534.7766
troublesome,257.9951,711.35944
continued,-951.86163,-155.88205
Unwilling,724.3881,-534.7766
destructive,-411.34134,-574.9772
dishonorable,-411.34134,-574.9772
consoling,-951.86163,-155.88205
angelic,-153.19484,977.9316
fewer,211.55492,-578.76965
circumspect,-951.86163,-155.88205
transient,257.9951,711.35944
perverse,-190.54883,-258.8649
mild,-924.8581,439.74445
newest,497.98947,-103.91247
artful,-153.19484,977.9316
hackneyed,-383.12857,-1005.5233
indefinite,903.25793,52.94797
suspicious,-52.484406,323.03934
fresher,119.799675,-706.18134
inexhaustible,903.25793,52.94797
minute,-924.8581,439.74445
wiser,494.54434,1034.9302
farewell,-71.912224,-687.6213
invariable,903.25793,52.94797
watchful,494.54434,1034.9302
sighted,-52.484406,323.03934
effectual,798.5389,612.6109
uncompanionable,724.3881,-534.7766
faultless,-71.912224,-687.6213
headed,-383.12857,-1005.5233
healthful,-383.12857,-1005.5233
matrimonial,-924.8581,439.74445
allowable,-153.19484,977.9316
Stupid,-259.2687,421.19016
accurate,-153.19484,977.9316
discernible,-634.49066,-582.7671
green,-605.49,151.75119
ostentatious,224.95148,31.965883
neat,497.98947,-103.91247
unseldom,724.3881,-534.7766
faint,57.38613,-548.7929
built,-648.8871,803.46826
insignificant,903.25793,52.94797
maiden,-924.8581,439.74445
backwards,-648.8871,803.46826
sized,-259.2687,421.19016
minutest,-924.8581,439.74445
quarrelsome,147.8543,-187.7785
discontented,-634.49066,-582.7671
proficient,-93.74354,-131.5854
arch,-153.19484,977.9316
impolitic,903.25793,52.94797
scarce,-259.2687,421.19016
masterly,-924.8581,439.74445
amiss,-153.19484,977.9316
prudential,-93.74354,-131.5854
unimportant,724.3881,-534.7766
local,434.9356,336.51242
colder,-951.86163,-155.88205
concise,-951.86163,-155.88205
informed,903.25793,52.94797
disputable,-634.49066,-582.7671
steadfast,-259.2687,421.19016
Younger,366.8219,-261.70593
tractable,257.9951,711.35944
prodigious,-93.74354,-131.5854
thoughtful,257.9951,711.35944
keener,192.4397,-326.7464
subsequent,-259.2687,421.19016
forced,211.55492,-578.76965
acutest,-153.19484,977.9316
unmoved,724.3881,-534.7766
heightened,-383.12857,-1005.5233
honest,-383.12857,-1005.5233
unqualified,724.3881,-534.7766
unalloyed,724.3881,-534.7766
obvious,224.95148,31.965883
fullest,119.799675,-706.18134
shameless,-259.2687,421.19016
strongest,-259.2687,421.19016
disgusting,-634.49066,-582.7671
humbling,-383.12857,-1005.5233
undecided,724.3881,-534.7766
weighty,494.54434,1034.9302
undoubted,724.3881,-534.7766
vicious,551.8523,-994.5057
unprofitable,724.3881,-534.7766
revered,115.43899,-1084.4272
Ignorant,903.25793,52.94797
valueless,551.8523,-994.5057
penitent,-190.54883,-258.8649
clearer,-951.86163,-155.88205
cherished,-951.86163,-155.88205
grossest,-605.49,151.75119
perturbed,-360.2953,-131.86354
blameless,-648.8871,803.46826
casual,-951.86163,-155.88205
social,-259.2687,421.19016
fainter,211.55492,-578.76965
farther,211.55492,-578.76965
repulsive,115.43899,-1084.4272
unprincipled,724.3881,-534.7766
irreligious,903.25793,52.94797
immoral,903.25793,52.94797
prejudiced,-190.54883,-258.8649
blameable,-648.8871,803.46826
Pleased,-190.54883,-258.8649
unsuspicious,724.3881,-534.7766
fervent,211.55492,-578.76965
depressed,-411.34134,-574.9772
discreditable,-634.49066,-582.7671
occupied,224.95148,31.965883
heavier,-383.12857,-1005.5233
spirited,-259.2687,421.19016
